Question_ID,Page,Question_Preview,Options,Correct_Answer
p33_q8,33,"Which of the following taxonomist described classification of plant kingdom in ""","A, B, C, D",
p33_q9,33,Mayr's biological concepts of species is mainly based on [NCERT; BVP 2004; BHU 2,"A, B, C, D",
p33_q10,33,Two morophologically similar populations are intersterile. They belong to [NCERT,"A, B, C, D",
p33_q11,33,Which one possess characters of both plants and animals [CBSE PMT 1995],,
p33_q12,33,A unicellular organism often considered connecting link between plants and anima,"C, D, A, B, C, D",
p34_q1,34,Phylogenetic system was given [DPMT 2007; Kerala PMT 2009; CPMT 2010],"A, C, D",
p34_q2,34,Huxley is father of [MP PMT 2007],"A, B, C, D",
p34_q3,34,Species can be identified on the basis of [MP PMT 2007] [NCERT Pg. No.9],"A, B, C, D",
p34_q4,34,"In the five kingdom system of classification, which single kingdom out of the fo","A, B, C, D",
p34_q5,34,Floral features are commonly used for identification of angiosperms because [NCE,"A, B, C, D",
p34_q6,34,Two similar holotypes are called [BHU 1997],"A, B, C, D",
p34_q7,34,Binomial system of nomenclature for plants is effective from [JIPMER 1997],"A, B, C, D",
p34_q8,34,"A system of classification that is based on evolution, order and ancestry is kno","A, B, C, D",
p34_q9,34,Characteristics which delimit a family are more general than those which delimit,"A, B, C, D",
p34_q10,34,First great taxonomist was [NCERT Pg. No.8] [BHU 1999],"A, B, C, D",
p34_q11,34,"In the classification of plants, the term cladistics refers to the [Kerala PMT 2","A, B, C, D",
p34_q12,34,Five kingdom classification includes [DPMT 2006] [NCERT Pg. No.17],"A, B, C, D",
p34_q13,34,Which of the following is less general in characters as compared to genus [CBSE ,"A, B, C, D",
p34_q14,34,What is correct,D,
p35_q1,35,Descending arrangements of categories is called [NCERT Pg. No.8] [MHCET 2001],"A, B, C, D",
p35_q2,35,Holotype is [Pb. PMT 2001],"A, B, C, D",
p35_q3,35,Keystone species are [Pb. PMT 2001],"A, B, C, D",
p35_q4,35,Nicotiana is [NCERT; Haryana PMT 2001],"A, B, C, D",
p35_q5,35,Barophilic prokaryotes [CBSE PMT 2005],"A, B, C, D",
p35_q6,35,In hierarchical classification class is interpolated between [NCERT Pg. No.10] [,"A, B, C, D",
p35_q7,35,Binomial nomenclature is [MP PMT 1997; Chd. CET 2002] [NCERT Pg. No.6],"A, B, C, D",
p35_q8,35,A true species consists of a population [CBSE PMT 2002],"A, B, C, D",
p35_q9,35,Species are considered as [DPMT 1997; AIIMS 2000; BHU 2001; Kerala PMT 2002; CBS,"A, B, C, D",
p35_q10,35,Biosystematics aims at [CBSE PMT 2003],"A, B, C, D",
p35_q11,35,Select correctly written scientific name of Mango which was first described by C,"A, B, C, D, A, B, C, D",
p36_q1,36,415. The term 'systematics' refers to,"A, B, C, D",
p36_q2,36,416. Genus represents [NCERT Pg. No.9],"A, B, C, D",
p36_q3,36,417. The taxonomic unit 'Phylum' in the classification of animals is equivalent ,"A, B, C, D",
p36_q4,36,"418. Botanical gardens and zoological parks have [NCERT Pg. No. 12, 13]","A, B, C, D",
p36_q5,36,419. Taxonomic key is one of the taxonomic tools in the identification and class,"A, B, C, D",
p36_q6,36,"420. All living organisms are linked to one another because [NCERT Pg. No.3, 4]","A, B, C, D",
p36_q7,36,421.,,
p36_q8,36,Which of the following is a defining characteristic of living organisms [NCERT P,"A, B, C, D",
p36_q9,36,422.,,
p36_q10,36,"Match the following and choose the correct option [NCERT Pg. No.9, 10]","A, I, B, C, D, V, A, B, C, D",
p36_q11,36,423. Karyotaxonomy is the modern branch of classification which is based on [NCE,"A, B, C, D",
p36_q12,36,424.,,
p36_q13,36,Which of the following combinations is correct for wheat [NCERT Pg. No.11][DUMET,,
p37_q1,37,425. Hutchinson's system of classification was revised in [DPMT 2003],"A, B, C, D",
p37_q2,37,426. The total number of species included in the animal kingdom are about [CBSE ,"A, B, C, D",
p37_q3,37,427. Which one of the taxonomic aids can give comprehensive account of complete ,"A, B, C, D",
p37_q4,37,428.,"A, A, B, C, D",
p37_q5,37,429.,,
p37_q6,37,Which of the following is required as equivalent to subspecies of classical Taxo,"A, B, C, D",
p37_q7,37,430. Which one of the following statement correctly define the term homonym [WB ,"A, B, C, D",
p37_q8,37,431.,,
p37_q9,37,Match the items given in Column I with those in Column II and select the correct,"A, B, C, D, I",
p38_q1,38,`Read the assertion and reason carefully to mark the correct option out of the o,"A, B, C, D",
p38_q2,38,(e) If the assertion is false but reason is true,,
p38_q3,38,Assertion : Phylogeny is the developmental history of a species.,,
p38_q4,38,Reason : Species is the basic unit of taxonomy.,,
p38_q5,38,Assertion : Whittaker's classification for algae is not acceptable.,,
p38_q6,38,Reason : Whittaker grouped algae in different kingdoms. [NCERT Pg. No.17],,
p38_q7,38,Assertion : Chemotaxonomy is classifying organisms at molecular level.,,
p38_q8,38,Reason : Cytotaxonomy is classifying organisms at cellular level.,,
p38_q9,38,Assertion : Whittaker did not include unicellular green algae in protista.,,
p38_q10,38,Reason : Distinction between unicellular and multicellular organisms is not poss,,
p38_q11,38,Assertion : Systematics is the branch of biology that deals with classification ,,
p38_q12,38,Reason : The aim of classification is to group the organisms.[NCERT Pg. No.8] [A,,
p38_q13,38,Assertion : Acraniata is a group of organisms which do not have distinct cranium,,
p38_q14,38,Reason : It includes small marine forms without head. [AIIMS 1997],,
p38_q15,38,"Assertion : To give scientific name to plant, there is ICBN.",,
p38_q16,38,"Reason : It uses articles, photographs and recommendations to name a plant. [NCE",,
p38_q17,38,Assertion : Taxon and category are same things.,,
p38_q18,38,"Reason : Category shows hierarchical classification. [NCERT Pg. No.8, 9]",,
p38_q19,38,Assertion : The hierarchy includes seven obligate categories.,,
p38_q20,38,Reason : Intermediate categories are used to make taxonomic positions more infor,,
p38_q21,38,Assertion : The species is reproductively isolated natural population.,,
p38_q22,38,Reason : Prokaryotes cannot be kept under different species on the basis of repr,,
p38_q23,38,"11. Assertion Bacteria, Protista do not have circulatory system. Reason : These ",,
p38_q24,38,12. Assertion : Living organisms possess specific individuality with the definit,,
p41_q1,41,"(c) Phenology is the scientific study of seasonal changes, i.e., periodic phenom",,
p41_q2,41,"(a) In endergonic reactions, the product have more energy than the reactants, So",,
p41_q3,41,(b) Iron is component of haemoglobin of RBC of blood and helps in transportation,,
p41_q4,41,-99%) as well as carbon dioxide (about 23%).,,
p41_q5,41,All living organism are linked to one another because:,"1, 2, 3, 4",
p41_q6,41,Which of the following is a defining characteristic of living organism?,"1, 2, 3, 4",
p41_q7,41,Metabolism is a feature of:,"1, 2, 3, 4",
p41_q8,41,Living and nonliving objects of nature:,"1, 2, 3, 4",
p41_q9,41,Which one of the following is a defining property of living being?,"1, 2, 3, 4",
p41_q10,41,Apoplasmic growth is through the formation of:,"1, 2, 3, 4",
p41_q11,41,Homeostasis can be defined as:,"1, 2, 3, 4",
p41_q12,41,The living organisms can be unexceptionally distinguished from the nonliving thi,"1, 2, 3, 1, 2, 3, 4",
p42_q1,42,Self-consciousness is a feature of:,"1, 2, 3, 4",
p42_q2,42,Which of the following are considered as neither living nor nonliving?,"A, B, C, D, 1, 2, 3, 4",
p42_q3,42,Which of the following is incorrect?,"1, 2, 3, 4",
p42_q4,42,Which of the following is not the defining properties of living beings?,"1, 2, 3, 4",
p42_q5,42,The most obvious and technically complicated feature of all living organisms is:,"1, 2, 3, 4",
p42_q6,42,Which of the following character is not common to both living and nonliving?,"1, 2, 3, 4",
p42_q7,42,The term systematics refers to:,"1, 2, 3, 4",
p42_q8,42,New systematics introduced by Sir Julian Huxley is also called as:,"1, 2, 3, 4",
p42_q9,42,Bionomial nomenclature was published in:,"1, 2, 3, 4",
p42_q10,42,ICZN was adopted in:,"1, 2, 3, 4",
p42_q11,42,"""Systema Naturae"" was written by:","1, 2, 3, 4",
p42_q12,42,Autonym is valid in:,"1, 3, 4",
p43_q1,43,Basic unit of taxonomy is:,"1, 2, 3, 4",
p43_q2,43,ICNCP is:,"1, 2, 3, 4",
p43_q3,43,Binomial nomenclature for plants became effective from:,"1, 2, 3, 4",
p43_q4,43,Aristotle divided animals into:,"1, 2, 3, 4",
p43_q5,43,Rattus rattus represents;,"1, 2, 3, 4",
p43_q6,43,The book Systema Naturae was written by:,"1, 2, 3, 4",
p43_q7,43,Which of the following name is correct?,"1, 2, 3, 4",
p43_q8,43,The third name of the trinomial nomenclature is of:,"1, 2, 3, 4",
p43_q9,43,Corvus splendens splendens is the scientific name of Indian Crow. It represents:,"1, 2, 3, 4",
p43_q10,43,Systematics is the study of:,"1, 2, 3, 4",
p43_q11,43,In which one of the following systems each character is given equal importance a,"1, 2, 3, 4",
p43_q12,43,Concept of three domains was given by:,"1, 2, 3, 4",
p43_q13,43,A natural classification of organisms was given by:,"1, 2, 3, 4",
p43_q14,43,uses the chemical constituents of the plants to classify them.,"1, 2, 3, 4",
p44_q1,44,Four-Kingdom system of classification was given by:,"1, 2, 3, 4",
p44_q2,44,Which of the following was not a kingdom in fourKingdom system of classification,"1, 2, 3, 4",
p44_q3,44,Three-Kingdom system of classification was given by:,"1, 2, 3, 4",
p44_q4,44,A phylogenetic system of classification was proposed by:,"1, 2, 4",
p44_q5,44,Which one of the following systems of classification assumes that organisms belo,"1, 2, 3, 4",
p44_q6,44,Phenetic classification of organisms is based on:,"1, 2, 3, 4",
p44_q7,44,DNA sequence is the basis of grouping of organisms in:,"1, 2, 3, 4",
p44_q8,44,Phylogenetic system of classification is based on:,"1, 2, 3, 4",
p44_q9,44,An example for artificial system of classification is:,"1, 2, 3, 4",
p44_q10,44,"The term ""New systematics"" was introduced by:","1, 2, 3, 4",
p44_q11,44,"In vitro, metabolic reactions means:","1, 2, 3, 4",
p44_q12,44,Ficus benghalensis is the scientific name of:,"1, 2, 3, 4",
p44_q13,44,Biosystematics aims at:,"1, 1, 2, 3, 4",
p45_q1,45,Which of the following is a correct name?,"1, 2, 3, 4",
p45_q2,45,Find odd one with respect to taxon.,"1, 2, 3, 4",
p45_q3,45,Match the following and choose the correct option.Column - I,"A, B, C, D",
p45_q4,45,Species as a unit of classification was first employed by:,"1, 2, 3, 4",
p45_q5,45,Order primata and carnivora are placed in the same class:,"1, 2, 3, 4",
p45_q6,45,A genus with a single species is:,"1, 2, 3, 4",
p45_q7,45,Common and generic names are similar in case of:,"1, 2, 3, 4",
p45_q8,45,Taxon Tiger represents:,"1, 2, 3, 4",
p45_q9,45,Roundworm is a taxon that denotes:,"1, 2, 3, 4",
p45_q10,45,The suffix phyta indicates:,"1, 2, 3, 4",
p45_q11,45,"In a hierarchial system of plant classification, which one of the following taxo","1, 2, 3, 4",
p45_q12,45,Panthera is a:,"1, 2, 3, 4",
p45_q13,45,The correct sequence of the various taxons while naming an organism is:,"1, 2, 3, 4",
p45_q14,45,The intermediate category between subfamily and genus is:,"1, 2, 3, 4",
p46_q1,46,Basic unit of classification is:,"1, 2, 3, 4",
p46_q2,46,Taxonomic Aids77. Which of the following taxonomical aid is related with quick r,"1, 2, 3, 4",
p46_q3,46,Select the odd one out with respect to botanical gardens.,"1, 2, 3, 4",
p46_q4,46,Read the following statements carefully and select the correct option.,"I, II, III, IV, I, 2, 3, 4",
p46_q5,46,Which of the following includes the alphabetical arrangement of species of a par,"1, 2, 3, 4",
p46_q6,46,Match column-I with column-II Column I Column II,"A, I, B, C, III, D, V, 1, 2, 3, 4, 1, 2, 3, 4, VI",
p47_q1,47,Which of the above statements is/are not correct?,"1, 2, 3, 4",
p47_q2,47,Read the following statements regarding biological museums.,"I, II, III, IV, V, VI",
p47_q3,47,Which of the above statements is/are not correct?,"1, 2, 3, 4",
p47_q4,47,An example of ex situ conservation is:,"1, 2, 3, 4",
p47_q5,47,Largest herbarium of India is at:,"1, 2, 3, 4",
p47_q6,47,Type specimen described as the nomenclature type is:,"1, 2, 3, 4",
p47_q7,47,The biological concept of species was given by:,"1, 2, 3, 4",
p47_q8,47,Two apparently similar populations are intersterile. They are members of:,"1, 2, 3",
p47_q9,47,Why reproduction is not an inclusive defining characteristic of all living ongan,"1, 2, 3, 4",
p47_q10,47,Choose the incorrect statement regarding universal rules of nomenclature.,"1, 2, 3, 4",
p47_q11,47,A taxon is a:,"1, 2, 3, 4",
p47_q12,47,Solanum and Panthera are:,"1, 2, 3, 4",
p47_q13,47,"According to five-kingdom system of classification, how many kingdoms contain mu",,
p48_q1,48,Which one of the following represents a tautonym?,"1, 2, 3, 4",
p48_q2,48,Corvus splendens splendens is the scientific name of Indian cow. It represents:,"1, 2, 3, 4",
p48_q3,48,Type of specimen described along with holotype is:,"1, 2, 3, 4",
p48_q4,48,Reproduction is synonymous with growth of which group of organisms?,"1, 2, 3, 4",
p48_q5,48,The word species was coined by:,"1, 2, 3, 4",
p48_q6,48,Go through the given statements regarding an order and choose the codes with all,"I, II, IV, 1, 2, 3, 4",
p48_q7,48,Match the following columns. Column I Column II,"A, B, C, D",
p48_q8,48,Which one of the following is not a correct statement?,"1, 2, 3, 4",
p48_q9,48,Read the statements given below and identify the incorrect statement.,"1, 2, 3, 4",
p48_q10,48,The growth by cell division occurs continuously throughout their life span in:,"1, 2, 2, 3, 4",
p49_q1,49,Isolated metabolic reactions in vitro are:,"1, 2, 3, 4",
p49_q2,49,Consider the given statements.,"A, B, 1, 2, 3, 4",
p49_q3,49,"For animals, scientific names are based on agreed principles and criteria, which","1, 2, 3, 4",
p49_q4,49,Which one of the following is a correct representation of binomial epithet with ,"1, 2, 3, 4",
p49_q5,49,"In the given statement ""potato is a dicot and dicots are plants"".","1, 2, 3, 4",
p49_q6,49,Taxonomic category with comparatively less number of common characters is:,"1, 2, 3, 4",
p49_q7,49,Taxonomic category with a group of related genera is characterized on the basis ,"1, 2, 3, 4",
p49_q8,49,"The animal order ""Carnivora"" includes families like:","1, 2, 3, 4",
p49_q9,49,The prime source of taxonomic studies is:,"1, 2, 3, 4",
p49_q10,49,"To facilitate more sound and scientific placement of various taxa, taxonomists h","1, 2, 3, 4",
p49_q11,49,"The taxonomical aid as store house of collected plant specimens that are dried, ","1, 2, 3, 4, 4",
p50_q1,50,Ex situ conservation of organisms is associated with:,"1, 2, 3, 4",
p50_q2,50,Solanum melongena and Mangifera indica belong to:,"1, 2, 3, 4",
p50_q3,50,Correct sequence of taxonomical categories in descending order is:,"1, 2, 3, 4",
p50_q4,50,Growth is synonymous with reproduction in:,"1, 2, 3, 4",
p50_q5,50,"From the given list, how many characters can be taken as defining property for a","1, 2, 3, 4",
p50_q6,50,The most obvious and technically complicated feature of all living organisms is:,"1, 3, 2, 4",
p50_q7,50,Read the statements carefully and select the appropriate answer.,"A, B, C, 1, 2, 3, 4",
p50_q8,50,"The number of species that are known and described on earth refer to (i), which ","1, 2, 3, 4",
p50_q9,50,"For plants, scientific names are based on agreed principles and criteria that ar","1, 2, 3, 4",
p50_q10,50,Find one with respect to taxa belonging to different levels in hierarchy.,"1, 2, 3, 4",
p50_q11,50,Select incorrect statement with respect to binomial nomenclature.,"1, 2, 3, 4, 1, 2, 3, 4",
p51_q1,51,Mark the mismatched pair.,"1, 2, 3, 4",
p51_q2,51,Plant families like Convolvulaceae and Solanaceae are included in the:,"1, 2, 3, 4",
p51_q3,51,"In the given box, how many taxonomical aids are concerned with the conservation ","1, 2, 3, 4",
p51_q4,51,Select the correct match: Column-I Column-II,"A, I, B, C, D, 1, 2, 3, 4",
p51_q5,51,Which one of the following represents the choice made between two opposite optio,"1, 2, 3, 4",
p51_q6,51,The actual account of habitat and distribution of plants of given area is given ,"1, 2, 3, 4",
p51_q7,51,Select incorrect statement with respect to Aristotle system of classification.,"1, 2, 3, 4",
p51_q8,51,"Carolus Linnaeus is credited for all, except:","1, 2, 3, 4",
p51_q9,51,"Nostoc, Chlamydomonas, Yeast, and Spirogyra are placed together in the same king","1, 2, 3, 1, 2, 3, 4",
p52_q1,52,Select odd one with respect to broad categories in taxonomic hierarchy.,"1, 2, 3, 4",
p52_q2,52,Which of the following functions can be performed by taxonomic aids?,"1, 2, 3, 4",
p52_q3,52,Choose the correct option for taxonomic keys.,"I, II, III, 1, 2, 3, 4",
p52_q4,52,Which of the following serve as means for ex-situ conservation of rare and endem,"1, 2, 3, 4",
p52_q5,52,"Higher the taxonomic category, is the number of organisms and is the number of c","1, 2, 3, 4",
p52_q6,52,Choose odd one with respect to obligate categories.,"1, 2, 3, 4",
p52_q7,52,The science that deals with diversity of organisms and all their comparative and,"1, 2, 3, 4",
p52_q8,52,"In taxonomic hierarchy, given below organisms are representative of how many fam","1, 2, 3, 4",
p52_q9,52,Modern taxonomic studies are similar to classical one in dealing with:,"1, 2, 3",
p52_q10,52,Choose incorrect option with respect to some important rules of binomial nomencl,"1, 1, 2, 3, 4",
p53_q1,53,"For bacteria, we are not very clear about the usage of terms like:","1, 2, 3, 4",
p53_q2,53,Which of the following provide index to the plant species found in particular ar,"1, 2, 3, 4",
p53_q3,53,"For plants, scientific names are based on agreed principles and criteria that ar","1, 2, 3, 4",
p53_q4,53,Biological classification system that was introduced by Carl Woese divided the M,"1, 2, 3, 4",
p53_q5,53,"According to five-kingdom classification system below, organisms or groups belon","1, 2, 3, 4",
p53_q6,53,Which of the following represents the correct positioning of organisms according,"A, B, C, D, 1, 2, 3, 4",
p53_q7,53,Awareness of the surroundings and response to external stimuli is:,"1, 2, 3, 4",
p53_q8,53,Choose incorrect option with respect to features of living organisms.,"1, 2, 3, 4",
p53_q9,53,Which of the following taxonomic categories are common for Triticum and Mangifer,"1, 2, 3, 4",
p53_q10,53,Taxonomic category with a group of related genera is:,"1, 2, 3, 4",
p54_q1,54,Systematics is different from taxonomy in dealing with:,"1, 2, 3, 4",
p54_q2,54,Choose correct option for the missing words.,"1, 2, 3, 4",
p54_q3,54,Which of the following group of organisms represent taxa at same level?,"1, 2, 3, 4",
p54_q4,54,Taxonomic keys are generally and are based on characters.,"1, 2, 3, 4",
p54_q5,54,Detailed information about a particular taxon is present in:,"1, 2, 3, 4",
p54_q6,54,Which of the following taxonomic aids provide information about the local flora ,"1, 2, 3, 4",
p54_q7,54,Largest botanical garden of Asia is situated in .,"1, 2, 3, 4",
p54_q8,54,"For bacteria scientific names are based on agreed principles and criteria, which","1, 2, 3, 4",
p54_q9,54,Arrangement of organisms into convenient categories on the basis of similarities,"1, 2, 3, 4",
p54_q10,54,"Living organisms are characterized by all, except:","1, 2, 3",
p54_q11,54,Read the statements carefully and select correct set of statements.,"A, B, C, 1, 2, 3, 4",
p54_q12,54,The most obvious and technically complicated feature is A__in B .,1,
p55_q1,55,"Taxonomy involves all, except:","1, 2, 3, 4",
p55_q2,55,Which of the following is concerned with diversity of organisms and relationship,"1, 2, 3, 4",
p55_q3,55,Choose odd one with respect to obligate categories in taxonomic hierarchy.,"1, 2, 3, 4",
p55_q4,55,Biological concept of species was given by and based upon isolation.,"1, 2, 3, 4",
p55_q5,55,Growth and reproduction are mutually exclusive events for:,"1, 2, 3, 4",
p55_q6,55,More common characters are present in which one of the following taxonomic categ,"1, 2, 3, 4",
p55_q7,55,Sweet potato and potato are placed in the:,"1, 2, 3, 4",
p55_q8,55,Select incorrect matching with respect to taxonomic categories of wheat.,"1, 2, 3, 4",
p55_q9,55,The number of species that are known and described range between:,"1, 2, 3, 4",
p55_q10,55,Petunia and Datura are placed in the family Solanaceae on the basis of:,"1, 2, 3, 4",
p55_q11,55,Find out the correct sequence of taxonomic categories in ascending order.,"1, 2, 3, 4",
p55_q12,55,Carnivore is assemblage of:,"1, 2, 3, 4",
p55_q13,55,A family tree based upon phenetic classification is known as:,"1, 2, 3, 4, 3, 4",
p56_q1,56,Which one of the following is defining property of living being?,"1, 2, 3, 4",
p56_q2,56,Find the wrong statement.,"1, 2, 3, 4",
p56_q3,56,"According to five-kingdom system of classification, how many kingdoms contain mu","1, 2, 3, 4",
p56_q4,56,Mango belongs to class dicot of angiosperms and belongs to order:,"1, 2, 3, 4",
p56_q5,56,According to Whittaker Actinomycetes are included in kingdom:,"1, 2, 3, 4",
p56_q6,56,Taxonomy that is based of sequencing of DNA and chemical nature of proteins is:,"1, 2, 3, 4",
p56_q7,56,Rattus rattus scientific name is an example of:,"1, 2, 3, 4",
p56_q8,56,While preparing herbarium dried specimens are poisoned by using a solution of:,"1, 2, 3, 4",
p56_q9,56,Binomial epithet includes:,"1, 2, 3, 4",
p56_q10,56,Select correct statement with respect to binomial nomenclature.,"1, 2, 3, 4",
p56_q11,56,"""The Darwin of the 20th century"" is associated with or known as:","1, 2, 3, 4",
p56_q12,56,The taxonomical aid which is an index of plant species in an area is:,"1, 2, 3, 4",
p57_q1,57,Garden having the main collection of the woody species is known as:,"1, 2, 3, 4",
p57_q2,57,First true phylogenetic system on classification was given by:,"1, 2, 4",
p57_q3,57,"In India, NBRI is situated at:","1, 3, 2, 4",
p57_q4,57,"According to ICBN, the name of the class ends with suffix:","1, 2, 3, 4",
p57_q5,57,"In the hierarchial classification, the number of obligate categories is:","1, 2, 3, 4",
p57_q6,57,"Multicellular, eukaryotic consumers belong to kingdom.","1, 2, 3, 4",
p57_q7,57,"A taxonomic system based on all phenotypic similarities, equally weighted, and w","1, 2, 3, 4",
p57_q8,57,Taxon and category differ in:,"1, 2, 3, 4",
p57_q9,57,Four-kingdom system arose with the distinction of:,"1, 2, 3, 4",
p57_q10,57,ICBN stands for:,"1, 2, 3, 4",
p57_q11,57,"""Taxa"" differs from ""taxon"" due to:","1, 2, 3, 4",
p57_q12,57,The total number of species that are known and described range between:,"1, 2, 3, 4",
p57_q13,57,Which of the following combinations is correct for wheat?,"1, 1, 2, 3, 4",
p58_q1,58,The phylogenetic system refers to grouping:,"1, 2, 3, 4",
p58_q2,58,Interbreeding is possible between two members of:,"1, 2, 3, 4",
p58_q3,58,A place of collection of dried plant specimen is:,"1, 2, 3",
p58_q4,58,"The term ""Systematic"" was given by:","1, 2, 3, 4",
p58_q5,58,"""Pinetum"" is a:","1, 2, 3, 4",
p58_q6,58,Who proposed the concept of phylogeny?,"1, 2, 3, 4",
p58_q7,58,Match the following column-I and column-II (with respect to term given by). Colu,"I, 1, 2, 3, 4",
p58_q8,58,The category that includes related species is:,"1, 2, 3, 4",
p58_q9,58,Find the odd one (with respect to category).,"1, 2, 3, 4",
p58_q10,58,Which taxonomy establishes the numerical degree of relationship among individual,"1, 2, 3, 4",
p58_q11,58,Carl Woese found that the six kingdoms naturally cluster into three main domains,"1, 2, 3, 4",
p58_q12,58,Match column A and B,"A, 1, 2, 3, 4",
p59_q1,59,Find an incorrect statement with respect to taxonomical aids.,"1, 2, 3, 4",
p59_q2,59,Find out if one of the following categories is incorrect with respect to Mango.,"1, 2, 3, 4",
p59_q3,59,A group of freely interbreeding plants constitutes a:,"1, 2, 3, 4",
p59_q4,59,Standard size of a herbarium sheet is:,"1, 2, 3, 4",
p59_q5,59,Nomenclature of cultivated plants are standardized through:,"1, 2, 3, 4",
p59_q6,59,"Which scientist published his classification in the book ""Families of Flowering ","1, 2, 3, 4",
p59_q7,59,Biological concept of species was proposed by:,"1, 2, 3, 4",
p59_q8,59,The international code of Botanical nomenclature was adopted in:,"1, 2, 3, 4",
p59_q9,59,"The book ""Historia Generalis Plantarum"" was written by:","1, 2, 3, 4",
p59_q10,59,Find the odd one out (with respect to category).,"1, 2, 3, 4",
p59_q11,59,"Match the following Species are static, constant, fixed and immutable","I, IV, 1, 2, 3, 4",
p59_q12,59,The complete compilation of information about any taxon/ genus/species is called,"1, 2, 3, 4",
p59_q13,59,The taxonomic category of pteridophytes is (with respect to suffix):,"1, 2, 3, 4",
p59_q14,59,"In taxonomic keys, the pairs of contrasting traits are known as:","1, 2, 3, 4",
p59_q15,59,Mark the incorrect one:,,
p60_q1,60,Find the odd one with respect to taxon.,"1, 2, 3, 4",
p60_q2,60,Find the odd one (with respect to taxonomic categories).,"1, 2, 3, 4",
p60_q3,60,According to Botanical nomenclature which is not possible?,"1, 2, 3, 4",
p60_q4,60,"The term ""New systematics"" was introduced by: In Dinomial nomenclature, every or","1, 2, 3, 4, 1, 2, 3, 4",
p60_q5,60,Taxon is:,"1, 2, 3, 4",
p60_q6,60,Which of the following is species?,"1, 3, 2, 4",
p60_q7,60,Choose the correct sequence of taxonomic categories.,"1, 2, 3, 4",
p60_q8,60,Holotype is:,"1, 2, 3, 4",
p60_q9,60,Phenetic classification of organisms is based on:,"1, 2, 3, 4",
p60_q10,60,In the light of recent classification of living organisms into three domains of ,"1, 2, 1, 2, 3, 4",
p61_q1,61,Actinomycetes are being put under which of the following?,"1, 2, 3, 4",
p61_q2,61,The biological definition of a species depends on,"1, 2, 3, 4",
p61_q3,61,The biological concept of species was formulated by:,"1, 2, 3, 4",
p61_q4,61,National Botanical Research Institute is situated at:,"1, 2, 3, 4",
p61_q5,61,Drosophila pseudoobscura and Drosophila persimilis are good examples of:,"1, 2, 3, 4",
p61_q6,61,Binomial system of nomenclature was given by:,"1, 2, 3, 4",
p61_q7,61,"The number of species classified in ""Species Plantarum"" is:","1, 2, 3, 4",
p61_q8,61,New systematics introduced by Sir Julian Huxley is also called:,"1, 2, 3, 4",
p61_q9,61,Phenetics is also called:,"1, 2, 3, 4",
p61_q10,61,"Term ""Alfa taxonomy"" was given by:","1, 2, 3, 4",
p61_q11,61,Phenetic classification of organisms is based on:,"1, 2, 3, 4",
p61_q12,61,Linnaean system of plant classification is based on:,"1, 2, 3, 4",
p61_q13,61,Systematics term was given by:,"1, 2, 3, 4, 2, 3, 4",
p62_q1,62,"Datura innoxia belongs to the order and family, respectively:","1, 2, 3, 4",
p62_q2,62,A phylum common to unicellular animals and plants is:,"1, 2, 3, 4",
p62_q3,62,The most widespread group of organisms of earth belongs to kingdom:,"1, 2, 3, 4",
p62_q4,62,Classification that considers several characters of ancestors is:,"1, 2, 3, 4",
p62_q5,62,"According to Whittaker's five kingdom classification the unicellular, nonnucleat","1, 2, 3, 4",
p62_q6,62,Which of the following statements regarding universal rules of nomenclature is w,"1, 2, 3, 4",
p62_q7,62,"""Systema Naturae"" was written by:","1, 2, 3, 4",
p62_q8,62,Which of the following domain was not suggested by Woese?,"1, 3, 2, 4",
p62_q9,62,"Which of the following combinations is correct for maize? Order : Sapindales, Cl","1, 2, 3, 4",
p62_q10,62,IUCN stands for:,"1, 2, 3, 4",
p62_q11,62,"A group of related genera, with still less number of similarities as compared to","1, 2, 3, 4",
p62_q12,62,Classification of organisms based on evolutionary as well as genetic relationshi,"3, 4",
p63_q1,63,Father of Botany is:,"1, 3, 2, 4",
p63_q2,63,Family is placed between:,"1, 2, 3, 4",
p63_q3,63,The framework system of classification in which various taxonomic categories are,"1, 2, 3, 4",
p63_q4,63,The basic unit of classification is:,"8, 2, 3, 4",
p63_q5,63,"The term ""Taxonomy"" was introduced by:","1, 2, 3",
p63_q6,63,Scientific study of diversity of organisms and their evolutionary relationships ,"1, 2, 3, 4",
p63_q7,63,Arrange the following in the ascending order of Linnaean hierarchy.,"1, 2, 3, 4",
p63_q8,63,Select the wrong statements.,"I, II, III, IV, 1, 2, 3, 4",
p63_q9,63,"Animals are classified into hierarchical group. In which one of the following, t","1, 2, 3, 4",
p63_q10,63,Which one of the following is not a correct statement?,"1, 2, 3, 4",
